Country,Currency,Currency code,Currency units per £1 ,Start date,End date,,
Montserrat,E Caribbean Dollar,XCD,4.3819,01/10/2014,31/10/2014,,
Morocco,Dirham,MAD,13.9284,01/10/2014,31/10/2014,,
Mozambique,Metical,MZN,49.5797,01/10/2014,31/10/2014,,
Myanmar,Kyat,MMK,1577.46,01/10/2014,31/10/2014,,
Nepal,Rupee,NPR,157.662,01/10/2014,31/10/2014,,
Netherland,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
New Caledonia,CFP Franc,XPF,149.686,01/10/2014,31/10/2014,,
New Zealand,Dollar,NZD,2.0007,01/10/2014,31/10/2014,,
Nicaragua,Gold Cordoba,NIO,42.5364,01/10/2014,31/10/2014,,
Niger Republic,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Nigeria,Naira,NGN,264.322,01/10/2014,31/10/2014,,
Norway,Norwegian Krone,NOK,10.4692,01/10/2014,31/10/2014,,
Oman,Rial,OMR,0.6248,01/10/2014,31/10/2014,,
Pakistan,Rupee,PKR,166.396,01/10/2014,31/10/2014,,
Panama,Balboa,PAB,1.6229,01/10/2014,31/10/2014,,
Papua New Guinea,Kina,PGK,4.0185,01/10/2014,31/10/2014,,
Paraguay,Guarani,PYG,6986.51,01/10/2014,28/10/2014,,
Paraguay,Guarani,PYG,7375.85,29/10/2014,31/10/2014,,
Peru,New Sol,PEN,4.6439,01/10/2014,31/10/2014,,
Philippines,Peso,PHP,72.2196,01/10/2014,31/10/2014,,
Poland,Zloty,PLN,5.2692,01/10/2014,31/10/2014,,
Portugal,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Qatar,Riyal,QAR,5.9097,01/10/2014,31/10/2014,,
Romania,New Leu,RON,5.5471,01/10/2014,31/10/2014,,
Russia,Rouble,RUB,61.4592,01/10/2014,21/10/2014,,
Russia,Rouble,RUB,64.7215,22/10/2014,31/10/2014,,
Rwanda,Franc,RWF,1120.61,01/10/2014,31/10/2014,,
Saotome & Principe,Dobra,STD,29768.9,01/10/2014,31/10/2014,,
Saudi Arabia,Riyal,SAR,6.1226,01/10/2014,31/10/2014,,
Senegal,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Serbia,Dinar,RSD,149.291,01/10/2014,31/10/2014,,
Seychelles,Rupee,SCR,21.1085,01/10/2014,31/10/2014,,
Sierra Leone,Leone,SLL,7083.97,01/10/2014,31/10/2014,,
Singapore,Dollar,SGD,2.0631,01/10/2014,31/10/2014,,
Slovakia,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Slovenia,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Soloman Islands,Dollar,SBD,11.8203,01/10/2014,31/10/2014,,
Somali Republic,Schilling,SOS,1260.99,01/10/2014,31/10/2014,,
South Africa,Rand,ZAR,17.8733,01/10/2014,31/10/2014,,
South Korea,Won,KRW,1689.5,01/10/2014,31/10/2014,,
Spain,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Sri Lanka,Rupee,LKR,211.44,01/10/2014,31/10/2014,,
St Christopher & Anguilla,E Caribbean Dollar,XCD,4.3819,01/10/2014,31/10/2014,,
St Lucia,E Caribbean Dollar,XCD,4.3819,01/10/2014,31/10/2014,,
St Vincent,E Caribbean Dollar,XCD,4.3819,01/10/2014,31/10/2014,,
Sudan Republic,Pound,SDG,9.2505,01/10/2014,31/10/2014,,
Surinam,Dollar,SRG,5.3556,01/10/2014,31/10/2014,,
Swaziland,Lilangeni,SZL,17.8661,01/10/2014,31/10/2014,,
Sweden,Krona,SEK,11.6472,01/10/2014,31/10/2014,,
Switzerland,Franc,CHF,1.5258,01/10/2014,31/10/2014,,
Syria,Pound,SYP,253.903,01/10/2014,31/10/2014,,
Taiwan,Dollar,TWD,49.1743,01/10/2014,31/10/2014,,
Tajikistan,Somoni,TJS,8.126,01/10/2014,31/10/2014,,
Tanzania,Schilling,TZS,2700.51,01/10/2014,31/10/2014,,
Thailand,Baht,THB,52.6425,01/10/2014,31/10/2014,,
Togo Republic,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Tonga Islands,Pa'anga,TOP,1.8043,01/10/2014,31/10/2014,,
