Country,Currency,Currency code,Currecny units per £1,Start date,End date
Rwanda,Franc,RWF,1133.97,01/08/2015,31/08/2015
Saotome and Principe,Dobra,STD,35294.94,01/08/2015,31/08/2015
Saudi Arabia,Riyal,SAR,5.8634,01/08/2015,31/08/2015
Senegal,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Serbia,Dinar,RSD,172.94,01/08/2015,31/08/2015
Seychelles,Rupee,SCR,20.57,01/08/2015,31/08/2015
Sierra Leone,Leone,SLL,6316.34,01/08/2015,04/08/2015
Sierra Leone,Leone,SLL,6177.91,05/08/2015,25/08/2015
Sierra Leone,Leone,SLL,7239.41,26/08/2015,31/08/2015
Singapore,Dollar,SGD,2.1359,01/08/2015,31/08/2015
Soloman Islands,Dollar,SBD,12.36,01/08/2015,31/08/2015
Somali Republic,Schilling,SOS,1063.14,01/08/2015,31/08/2015
South Africa,Rand,ZAR,19.34,01/08/2015,31/08/2015
South Korea,Won,KRW,1803.54,01/08/2015,18/08/2015
South Korea,Won,KRW,1861.44,19/08/2015,31/08/2015
Sri Lanka,Rupee,LKR,209.34,01/08/2015,31/08/2015
St Christopher and Anguilla,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
St Lucia,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
St Vincent,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
Sudan Republic,Pound,SDG,9.3401,01/08/2015,31/08/2015
Surinam,Dollar,SRD,5.1594,01/08/2015,31/08/2015
Swaziland,Lilangeni,SZL,19.26,01/08/2015,31/08/2015
Sweden,Krona,SEK,13.47,01/08/2015,11/08/2015
Sweden,Krona,SEK,13.63,12/08/2015,31/08/2015
Switzerland,Franc,CHF,1.5048,01/08/2015,31/08/2015
Taiwan,Dollar,TWD,48.75,01/08/2015,31/08/2015
Tanzania,Schilling,TZS,3377.05,01/08/2015,31/08/2015
Thailand,Baht,THB,54.18,01/08/2015,25/08/2015
Thailand,Baht,THB,55.65,26/08/2015,31/08/2015
Togo Republic,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Tonga Islands,Pa'anga (AUS),TOP,2.1189,01/08/2015,31/08/2015
Trinidad/Tobago,Dollar,TTD,9.9483,01/08/2015,31/08/2015
Tunisia,Dinar,TND,3.0994,01/08/2015,31/08/2015
Turkey,Turkish  Lira,TRY,4.1439,01/08/2015,31/08/2015
Turkmenistan,New Manat,TMT,5.433,01/08/2015,31/08/2015
UAE,Dirham,AED,5.7426,01/08/2015,31/08/2015
Uganda,Schilling,UGX,5195.35,01/08/2015,25/08/2015
Uganda,Schilling,UGX,5517.74,26/08/2015,31/08/2015
Ukraine,Hryvnia,UAH,34.55,01/08/2015,18/08/2015
Ukraine,Hryvnia,UAH,32.68,19/08/2015,31/08/2015
Uruguay,Peso,UYU,42.86,01/08/2015,11/08/2015
Uruguay,Peso,UYU,44.31,12/08/2015,31/08/2015
USA,Dollar,USD,1.5634,01/08/2015,31/08/2015
Uzbekistan,Sum,UZS,4010.71,01/08/2015,31/08/2015
Vanuatu,Vatu,VUV,173.93,01/08/2015,31/08/2015
Venezuela,Bolivar Fuerte,VEF,9.8587,01/08/2015,31/08/2015
Vietnam,Dong,VND,34104.43,01/08/2015,31/08/2015
Wallis and Futuna Islands,CFP Franc,XPF,171.89,01/08/2015,31/08/2015
Western Samoa,Tala,WST,4.014,01/08/2015,31/08/2015
Yemen (Rep of),Rial,YER,335.97,01/08/2015,31/08/2015
Zambia,Kwacha,ZMW,11.96,01/08/2015,31/08/2015
Zimbabwe,Dollar,ZWL,565.81,01/08/2015,31/08/2015
